"Sample Count","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Life Fit Hybrid Min","Life Fit Hybrid Max","Life Fit Hybrid Avg","Life Fit Hybrid Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence",
"343","5","9","8.260001","9","0","9","6.509998","9","0","6","4.560000","6","0","8","3.990000","4","1691",
"344","5","9","8.240004","8","0","11","6.290000","0","0","6","3.930000","5","0","10","4.430000","2","1691",
"345","5","9","8.210002","8","0","11","6.720002","7","0","6","3.990000","0","0","10","4.259999","4","1692",
"346","5","9","8.270002","8","0","11","6.070000","9","0","6","4.100000","5","0","9","4.309999","6","1693",
"347","7","9","8.280004","8","0","11","6.259999","5","0","6","4.390000","5","0","10","4.549998","6","1694",
"348","4","9","8.230000","8","0","11","6.750001","9","0","7","4.110000","5","0","11","4.679999","4","1695",
"349","2","9","8.190001","9","0","11","6.670001","8","0","6","4.090001","0","0","8","4.300000","4","1696",
"350","3","9","8.060001","9","0","11","6.560001","9","0","6","4.030001","5","0","9","4.329999","6","1696",
"351","5","9","8.160001","8","0","11","6.790000","9","0","6","4.250001","4","0","9","4.520000","5","1697",
"352","4","9","8.330002","9","0","11","6.280000","7","0","7","4.160000","0","0","8","4.570002","0","1698",
"353","5","9","8.340001","8","0","11","6.449999","7","0","6","4.010000","4","0","11","3.980001","0","1699",
"354","4","9","8.210002","8","0","11","5.980000","9","0","7","4.519998","6","0","11","4.620001","4","1700",
"355","6","9","8.369999","8","0","11","6.750000","9","0","7","4.219999","5","0","10","4.210001","3","1700",
"356","5","9","8.360001","8","0","11","6.800000","9","0","6","4.580000","6","0","10","4.319999","4","1701",
"357","7","9","8.400000","8","0","11","5.909999","9","0","6","3.850001","6","0","10","4.520002","4","1702",
"358","3","9","8.319997","9","0","11","6.899999","8","0","7","4.309999","0","0","10","4.529999","7","1703",
"359","6","9","8.389998","8","0","11","6.650000","7","0","7","4.230002","4","0","9","4.220000","4","1704",
"360","7","9","8.460001","9","0","11","6.410000","5","0","6","4.020000","5","0","10","4.009999","7","1705",
"361","3","9","8.379999","8","0","11","6.520000","0","0","6","3.879999","0","0","8","4.150000","0","1705",
"362","5","9","8.269998","7","0","11","6.619999","9","0","7","4.049999","5","0","10","4.299999","4","1706",
"363","3","9","8.260000","7","0","9","6.539999","9","0","7","4.050000","4","0","8","4.100000","5","1707",
"364","6","9","8.160000","9","0","11","6.429999","8","0","7","4.460002","4","0","9","4.080000","5","1708",
"365","3","9","8.360002","8","0","11","6.249999","7","0","6","4.060000","0","0","8","4.200001","4","1708",
"366","7","9","8.410000","8","0","11","6.440001","7","0","7","4.300001","3","0","7","3.950000","4","1709",
"367","4","9","8.339998","9","0","11","6.589999","9","0","7","4.440001","4","0","10","4.270000","4","1710",
"368","2","9","8.400002","9","0","11","6.050000","9","0","7","4.670001","5","0","11","3.870000","6","1711",
"369","6","9","8.460000","9","0","11","6.620000","7","0","7","3.999998","2","0","8","4.040001","7","1712",
"370","6","9","8.450001","9","0","11","6.810002","10","0","7","4.159999","6","0","9","4.139999","5","1712",
"371","6","9","8.310000","9","0","11","5.880001","0","0","7","4.509998","6","0","10","4.119998","4","1713",
"372","3","9","8.299999","9","0","11","6.480001","8","0","7","4.039999","2","0","11","4.390001","7","1714",
"373","3","9","8.210001","9","0","11","6.769999","9","0","7","4.440000","5","0","8","4.460000","4","1715",
"374","5","9","8.549999","9","0","11","6.559999","7","0","7","4.099999","6","0","8","4.119998","0","1716",
